Rentrée scolaire;Code région académique;Code région Insee;Région académique;Code académie;Académie;Code département;Département;Code Postal;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en UEEA;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;num_ligne
2011;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920439C;ECOLE ELEMENTAIRE APPLICATION;SAINT-DENIS;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;12.0;289.0;0.0;278.0;11.0;0;67.0;55.0;52.0;53.0;51.0;138487
2011;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922572W;ECOLE MATERNELLE PUBLIQUE;JACQUES DERAY;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;5.0;131.0;131.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;138495
2011;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920587N;ECOLE MATERNELLE PUBLIQUE;DOME;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;218.0;218.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;138497
2011;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921256R;ECOLE PRIMAIRE PUBLIQUE;SILLY;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;12.0;309.0;0.0;309.0;0.0;0;57.0;54.0;61.0;63.0;74.0;138498
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920395E;ECOLE ELEMENTAIRE PUBLIQUE;FERDINAND BUISSON;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;12.0;311.0;0.0;311.0;0.0;0;71.0;70.0;57.0;52.0;61.0;243456
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921794A;ECOLE MATERNELLE PUBLIQUE;BELLE FEUILLE;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;219.0;219.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;243460
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922666Y;ECOLE PRIMAIRE PUBLIQUE;ROBERT DOISNEAU;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;18.0;484.0;225.0;259.0;0.0;0;62.0;68.0;60.0;38.0;31.0;243463
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921063F;ECOLE PRIMAIRE PRIVEE;SAINT ALEXANDRE;SECTEUR PRIVE;SANS OBJET;SANS OBJET;14.0;413.0;128.0;285.0;0.0;0;58.0;61.0;56.0;60.0;50.0;243465
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922552Z;ECOLE ELEMENTAIRE PUBLIQUE;MAITRE JACQUES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;282.0;0.0;282.0;0.0;0;66.0;53.0;66.0;44.0;53.0;243471
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921795B;ECOLE MATERNELLE PUBLIQUE;GALLIENI;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;6.0;170.0;170.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;243475
2013;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921383D;ECOLE PRIMAIRE PRIVEE;SAINT FRANCOIS D'ASSISE;SECTEUR PRIVE;SANS OBJET;SANS OBJET;16.0;491.0;187.0;304.0;0.0;0;62.0;61.0;61.0;57.0;63.0;243484
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922225U;ECOLE ELEMENTAIRE PUBLIQUE;SEVRES;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;19.0;450.0;0.0;439.0;11.0;0;104.0;83.0;79.0;91.0;82.0;85203
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921063F;ECOLE PRIMAIRE PRIVEE;SAINT ALEXANDRE;SECTEUR PRIVE;SANS OBJET;SANS OBJET;13.0;290.0;101.0;189.0;0.0;0;44.0;43.0;35.0;37.0;30.0;85215
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922105N;ECOLE ELEMENTAIRE PUBLIQUE;ADOLPHE THIERS;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;16.0;408.0;0.0;395.0;13.0;0;96.0;79.0;61.0;79.0;80.0;85232
2010;15;75;NOUVELLE-AQUITAINE;04;BORDEAUX;24;DORDOGNE;24240;RAZAC-DE-SAUSSIGNAC;0240268L;ECOLE MATERNELLE PUBLIQUE;-;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;1.0;28.0;28.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;92012
